"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"72","3/19","熱身賽","中信兄弟","味全龍","","","斗六","","18:35","2h","","","mb9nivvcdlmmvo4vmee8pdbod0@google.com"
"73","3/20","熱身賽","味全龍","統一獅","","","斗六","","18:35","2h","","","f52tcblr7bovro96tdcot65514@google.com"
"74","3/20","熱身賽","富邦悍將","中信兄弟","","","洲際","","18:35","2h","","","ilt2f31auicu9d4cn9mnsjdg4s@google.com"
"75","3/21","熱身賽","樂天桃猿","統一獅","","","台南","","18:35","2h","","","cb7b0oiphanejq3i65hg86u934@google.com"
"76","3/21","熱身賽","富邦悍將","台鋼雄鷹","","","嘉義市","","18:35","2h","","","141h630r0opbgtp57rcsq9958k@google.com"
"77","3/21","熱身賽","味全龍","中信兄弟","","","洲際","","18:35","2h","","","ms0k1dgksb1de22rtk4nm9hbog@google.com"
"78","3/22","熱身賽","富邦悍將","統一獅","","","台南","","17:05","2h","","","fk0eacv6aslsphni7dir85rsdo@google.com"
"79","3/22","熱身賽","味全龍","台鋼雄鷹","","","嘉義市","","17:05","2h","","","ljj6k5kidriqq5b7f1sk8prbhk@google.com"
"80","3/22","熱身賽","中信兄弟","樂天桃猿","","","台北大巨蛋","","17:05","2h","","","l68tec9lk2tpmmmffrhevh1v20@google.com"
"81","3/23","熱身賽","台鋼雄鷹","統一獅","","","台南","","14:05","2h","","","fc4ptkmciepj39bf8jjdulaov8@google.com"
"82","3/23","熱身賽","樂天桃猿","味全龍","","","天母","","17:05","2h","","","otaoa8nsdced25kvgpo01lfp20@google.com"
"83","3/23","熱身賽","中信兄弟","富邦悍將","","","台北大巨蛋","","17:05","2h","","","n3n6mrl11vuc8qov00blne4u64@google.com"
"84","3/24","熱身賽","統一獅","台鋼雄鷹","","","嘉義市","","18:35","2h","","","o2bl20viihbhc5e772jbghnbq4@google.com"
"85","3/25","熱身賽","中信兄弟","台鋼雄鷹","","","洲際","","18:35","2h","","",""
"86","3/25","熱身賽","富邦悍將","味全龍","","","天母","","18:35","2h","","","qdomuen40ssanmk9b01t2uu0q4@google.com"
"87","3/26","熱身賽","中信兄弟","統一獅","","","嘉義市","","18:35","2h","","","1fvb1s3rkbt74akhrch46ps388@google.com"
